method,iLISI,batch_auc,transfer_79362,transfer_94438
Uncorrected,0.3724597479427072,1.0,0.4173142823962601,0.0218686416449658
ComBat,0.7034015448122244,0.2012708733559923,0.4181499137186394,0.023054979721130613
Harmony,0.5714400229377141,0.8885769173932319,,
